"Sample.id" "cell.type" "cell.line.tissue.type" "gender"
"GSM759965" "cell type: embryonic stem cell, undifferentiated" "cell line: BG03" "Female"
"GSM759966" "cell type: embryonic stem cell, undifferentiated" "cell line: CM11" "Female"
"GSM759967" "cell type: embryonic stem cell, undifferentiated" "cell line: CM14" "Female"
"GSM759968" "cell type: embryonic stem cell, undifferentiated" "cell line: CM14" "Female"
"GSM759969" "cell type: embryonic stem cell, undifferentiated" "cell line: CM1" "Female"
"GSM759970" "cell type: embryonic stem cell, undifferentiated" "cell line: CM2" "Female"
"GSM759971" "cell type: embryonic stem cell, undifferentiated" "cell line: CM6" "Female"
"GSM759972" "cell type: embryonic stem cell, undifferentiated" "cell line: CM7" "Female"
"GSM759973" "cell type: embryonic stem cell, undifferentiated" "cell line: CM8" "Female"
"GSM759974" "cell type: embryonic stem cell, undifferentiated" "cell line: CM8" "Female"
"GSM759975" "cell type: embryonic stem cell, undifferentiated" "cell line: CSC14C1" "Female"
"GSM759976" "cell type: embryonic stem cell, undifferentiated" "cell line: CSC14" "Female"
"GSM759977" "cell type: embryonic stem cell, undifferentiated" "cell line: ESI017" "Female"
"GSM759978" "cell type: embryonic stem cell, undifferentiated" "cell line: ESI035" "Female"
"GSM759979" "cell type: embryonic stem cell, undifferentiated" "cell line: ESI051" "Female"
"GSM759980" "cell type: embryonic stem cell, undifferentiated" "cell line: ESI053" "Female"
"GSM759981" "cell type: embryonic stem cell, undifferentiated" "cell line: FES30" "Female"
"GSM759982" "cell type: embryonic stem cell, undifferentiated" "cell line: HES2" "Female"
"GSM759983" "cell type: embryonic stem cell, undifferentiated" "cell line: HES2" "Female"
"GSM759984" "cell type: embryonic stem cell, undifferentiated" "cell line: HES2" "Female"
"GSM759985" "cell type: embryonic stem cell, undifferentiated" "cell line: HES2" "Female"
"GSM759986" "cell type: embryonic stem cell, undifferentiated" "cell line: HES2" "Female"
"GSM759987" "cell type: embryonic stem cell, undifferentiated" "cell line: HES3" "Female"
"GSM759988" "cell type: embryonic stem cell, undifferentiated" "cell line: HES3" "Female"
"GSM759989" "cell type: embryonic stem cell, undifferentiated" "cell line: HES3" "Female"
"GSM759990" "cell type: embryonic stem cell, undifferentiated" "cell line: MEL2" "Female"
"GSM759991" "cell type: embryonic stem cell, undifferentiated" "cell line: MEL2" "Female"
"GSM759992" "cell type: embryonic stem cell, undifferentiated" "cell line: MEL3" "Female"
"GSM759993" "cell type: embryonic stem cell, undifferentiated" "cell line: MEL4" "Female"
"GSM759994" "cell type: embryonic stem cell, undifferentiated" "cell line: MEL4" "Female"
"GSM759995" "cell type: embryonic stem cell, undifferentiated" "cell line: MIZ6" "Female"
"GSM759996" "cell type: embryonic stem cell, undifferentiated" "cell line: MIZ6" "Female"
"GSM759997" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF001" "Female"
"GSM759998" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF001" "Female"
"GSM759999" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF003" "Female"
"GSM760000" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF004" "Female"
"GSM760001" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF006" "Female"
"GSM760002" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF006" "Female"
"GSM760003" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF007" "Female"
"GSM760004" "cell type: embryonic stem cell, undifferentiated" "cell line: SIVF007" "Female"
