"geo_accession"	"gsatid"
"GSM760124"	"GSM760124"	"g1"
"GSM760125"	"GSM760125"	"g2"
"GSM760126"	"GSM760126"	"g3"
"GSM760128"	"GSM760128"	"g4"
"GSM760129"	"GSM760129"	"g5"
"GSM760130"	"GSM760130"	"g6"
"GSM759971"	"GSM759971"	"g7"
"GSM760040"	"GSM760040"	"g8"
"GSM759982"	"GSM759982"	"g9"
"GSM760042"	"GSM760042"	"g10"
"GSM760045"	"GSM760045"	"g11"
"GSM759993"	"GSM759993"	"g12"
"GSM759995"	"GSM759995"	"g13"
"GSM760054"	"GSM760054"	"g14"
"GSM760065"	"GSM760065"	"g15"
"GSM760067"	"GSM760067"	"g16"
"GSM760068"	"GSM760068"	"g17"
"GSM760071"	"GSM760071"	"g18"
"GSM760027"	"GSM760027"	"g19"
"GSM760032"	"GSM760032"	"g20"
"GSM760117"	"GSM760117"	"g21"
"GSM760076"	"GSM760076"	"g22"
"GSM760113"	"GSM760113"	"g23"
"GSM760072"	"GSM760072"	"g24"
"GSM760114"	"GSM760114"	"g25"
"GSM760073"	"GSM760073"	"g26"
"GSM760115"	"GSM760115"	"g27"
"GSM760074"	"GSM760074"	"g28"
"GSM760116"	"GSM760116"	"g29"
"GSM760075"	"GSM760075"	"g30"
"GSM760118"	"GSM760118"	"g31"
"GSM760077"	"GSM760077"	"g32"
"GSM760119"	"GSM760119"	"g33"
"GSM760078"	"GSM760078"	"g34"
"GSM760120"	"GSM760120"	"g35"
"GSM760079"	"GSM760079"	"g36"
"GSM760121"	"GSM760121"	"g37"
"GSM760080"	"GSM760080"	"g38"
"GSM760122"	"GSM760122"	"g39"
"GSM760123"	"GSM760123"	"g40"
"GSM760082"	"GSM760082"	"g41"
"GSM760143"	"GSM760143"	"g42"
"GSM760144"	"GSM760144"	"g43"
"GSM760145"	"GSM760145"	"g44"
"GSM760146"	"GSM760146"	"g45"
"GSM760147"	"GSM760147"	"g46"
"GSM760131"	"GSM760131"	"g47"
"GSM760133"	"GSM760133"	"g48"
"GSM760132"	"GSM760132"	"g49"
"GSM760150"	"GSM760150"	"g50"
"GSM760151"	"GSM760151"	"g51"
"GSM760138"	"GSM760138"	"g52"
"GSM760152"	"GSM760152"	"g53"
"GSM760153"	"GSM760153"	"g54"
"GSM760154"	"GSM760154"	"g55"
"GSM760155"	"GSM760155"	"g56"
"GSM760139"	"GSM760139"	"g57"
"GSM760142"	"GSM760142"	"g58"
"GSM760156"	"GSM760156"	"g59"
"GSM760157"	"GSM760157"	"g60"
"GSM760158"	"GSM760158"	"g61"
"GSM760172"	"GSM760172"	"g62"
"GSM760190"	"GSM760190"	"g63"
"GSM760173"	"GSM760173"	"g64"
"GSM760174"	"GSM760174"	"g65"
"GSM760191"	"GSM760191"	"g66"
"GSM760192"	"GSM760192"	"g67"
"GSM760175"	"GSM760175"	"g68"
"GSM760193"	"GSM760193"	"g69"
"GSM760179"	"GSM760179"	"g70"
"GSM760195"	"GSM760195"	"g71"
"GSM760180"	"GSM760180"	"g72"
"GSM760181"	"GSM760181"	"g73"
"GSM760182"	"GSM760182"	"g74"
"GSM760196"	"GSM760196"	"g75"
"GSM760197"	"GSM760197"	"g76"
"GSM760183"	"GSM760183"	"g77"
"GSM760198"	"GSM760198"	"g78"
"GSM760185"	"GSM760185"	"g79"
"GSM760199"	"GSM760199"	"g80"
"GSM760187"	"GSM760187"	"g81"
"GSM760186"	"GSM760186"	"g82"
"GSM760201"	"GSM760201"	"g83"
"GSM760202"	"GSM760202"	"g84"
"GSM760188"	"GSM760188"	"g85"
"GSM760189"	"GSM760189"	"g86"
"GSM760203"	"GSM760203"	"g87"
