"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"LIN28" -8.35869075372658 9.21579714285265 -184.002469196923 1.785426786864e-115 3.79778131833842e-111 235.705617363935
"ZSCAN10" -7.11889527863908 8.58178479738706 -131.556658672714 1.02678685878813e-102 1.09203916366411e-98 215.110350367535
"POU5F1P1" -6.65954977644541 8.60413791375842 -70.3522920413962 4.63673390548235e-79 3.28759889678383e-75 168.313182977751
"DNMT3B" -5.60326767827162 8.95286275788964 -58.0981464110577 6.58074837289863e-72 3.49947746599817e-68 152.836794220887
"SLC7A3" -5.05478478588361 8.15857783397923 -55.089189164859 6.22993365063055e-70 2.65033837365125e-66 148.494459796485
"LOC642559" -7.20073229400151 9.57022151992607 -54.727982142984 1.09280980496522e-69 3.8741928935692e-66 147.9564744758
"HS.129302" -4.49147096214806 7.64750928802355 -54.428907752928 1.7449257122545e-69 5.30233068933792e-66 147.508212565843
"LOC645682" -6.44991997001932 8.30038475365087 -49.5640902835631 5.05729137296186e-66 1.3446705599284e-62 139.835705929598
"HS.540043" -4.69035301235463 7.69403240776106 -49.3430850816396 7.39001233183821e-66 1.74658835900589e-62 139.469049083864
"DPPA4" -7.0645610385373 9.2844875223896 -48.3754932521085 3.96298886437242e-65 8.42967361340656e-62 137.843940406132
"POU5F1" -5.21783507217686 7.89840563444591 -47.8888218097961 9.33289591952842e-65 1.80472753731172e-61 137.014108415291
"HS.574590" -5.12844360537146 7.92821134025882 -45.2301155601732 1.16445964233851e-62 2.06410175434853e-59 132.326163754602
"CAMKV" -5.44399657317781 8.24288768917142 -44.6868464898566 3.22372853281456e-62 5.27476381703835e-59 131.334623936314
"LOC643272" -6.67394301317522 9.32131664480822 -44.6387321981374 3.52989678981054e-62 5.36317390114714e-59 131.246236420572
"ZIC3" -5.85432119188522 8.16841718572357 -44.0568416063737 1.06514954408419e-61 1.51045306348099e-58 130.169800219857
"SILV" -4.50718626190245 8.22348155562963 -43.3543932713521 4.11349157759392e-61 5.46862995918751e-58 128.851611821889
"L1TD1" -5.72848181074087 8.59102399733313 -39.8192916990137 5.07117386130221e-58 6.34523171786819e-55 121.88650824462
"HS.575696" -4.88038727444227 7.93044755394742 -39.3950800200661 1.2373133496688e-57 1.46216068115584e-54 121.011196186164
"LIN28B" -6.0836836101641 8.64880382889815 -38.4471682352291 9.36946295016971e-57 1.04893603375295e-53 119.022619075196
"TRIML2" -4.68395006457404 7.68616916620211 -37.3176207538526 1.10901984765437e-55 1.1794980589728e-52 116.591970123785
"LOC286467" -3.36172529693245 7.19794991037478 -37.253677373168 1.27805621122339e-55 1.29454922233013e-52 116.452326768105
"C1ORF187" -2.88179603315443 6.81196908557443 -36.6818383061329 4.58891352788291e-55 4.43685362052716e-52 115.193522458792
"YBX2" -3.75982165921822 7.52820203826147 -35.8107475242265 3.32795352113038e-54 3.07777823252018e-51 113.240681902596
"LOC388494" -3.64803103778527 7.20876077021654 -35.6910392355046 4.38382574040689e-54 3.88534822184146e-51 112.968910597634
"LHFPL4" -2.60644298184871 6.84572841717879 -35.3273524142134 1.01765662773754e-53 8.65862965144209e-51 112.138092477116
"C9ORF135" -4.93814365506933 7.99180799657889 -34.6216444194722 5.33021509056664e-53 4.36073096890166e-50 110.503466127052
"HS.573434" -3.61889314488412 7.09579958232033 -34.3456962694182 1.02660367190809e-52 8.08773581672481e-50 109.856058091749
"UGT3A2" -3.25256119255089 6.9027125335912 -34.1526391349672 1.62828173349629e-52 1.2369707411857e-49 109.400323104819
"CA14" -3.45533379308666 7.18492283552024 -34.0329095907882 2.16999292411681e-52 1.59165239616858e-49 109.116518877631
"GPR19" -3.57806653241537 7.54225792205418 -33.6645704184371 5.27907530453686e-52 3.74304036009345e-49 108.237751979558
"C14ORF115" -2.43321801684925 6.75042709200244 -33.1605592099545 1.8062707449969e-51 1.239393065059e-48 107.021245411942
"SCG3" -3.05555386590898 7.19328556148151 -31.5312692745582 1.07728049452972e-49 7.16088543723174e-47 102.973276037891
"SALL4" -5.21755450576355 8.33729094337147 -30.8456045071246 6.34935470794614e-49 4.09264012099159e-46 101.214715939154
"SOX3" -3.34782624937057 6.95811189949962 -30.4815162369823 1.65057388906918e-48 1.03262815277619e-45 100.267116541225
"ZIC2" -6.47388059815612 8.68233980285518 -30.0046756041603 5.85177985188465e-48 3.55637740655538e-45 99.0112331395458
"GABRB3" -2.81362341716276 7.10892474891861 -29.9483625371265 6.80260419240562e-48 4.01939427157389e-45 98.861792340172
"GRPR" -4.32469106547076 7.52135378311816 -29.8220632179946 9.54322291429238e-48 5.4863214759436e-45 98.525751837345
"CHST4" -4.18246541596478 7.58939382750332 -29.8003656823042 1.01158835341831e-47 5.66249891198969e-45 98.4678998765511
"PHC1" -2.87818805635568 9.07466399332958 -29.6205969737783 1.64163487960211e-47 8.95364500615807e-45 97.9872006621973
"JARID2" -3.21889875120834 10.8257418506218 -29.5984727080234 1.74271880396156e-47 9.26734291976659e-45 97.9278694490686
"HS.579631" -5.10741264671379 11.0191661967323 -29.4414695885815 2.66589327689389e-47 1.38307843641e-44 97.5057461030944
"USP44" -4.19097783474243 7.66182612839016 -29.343804412475 3.47609212734723e-47 1.76047513430483e-44 97.2421976815109
"DDX25" -2.69689772548372 6.72679375265372 -28.9664519257748 9.75760331314101e-47 4.82683674590285e-44 96.2169079023162
"RND2" -4.12671178709728 9.37902554031335 -28.930388582459 1.07753331526655e-46 5.20913889750792e-44 96.1183340037852
"HS.148659" -5.67671499872768 7.9421657385762 -28.8369595713348 1.39399263257559e-46 6.58924828611451e-44 95.8624787958673
"GDF3" -3.34911820154381 6.92093970977102 -27.9609739394912 1.61163814502274e-45 7.45242499625625e-43 93.4293209328263
"HS.554255" -2.21855875492016 6.40898645143903 -27.9149893241064 1.83571594711478e-45 8.3079816832082e-43 93.2998544308481
"PACSIN1" -2.78471542178354 7.25064246891192 -27.6645162969325 3.74174622584232e-45 1.65813924937275e-42 92.5915634513408
"KCNG3" -3.25728167357921 7.01363445805883 -27.5782900945241 4.78693740670518e-45 2.07801929751073e-42 92.3465118825299
"CYP26A1" -4.6290987651741 7.81540466695189 -27.5397928959221 5.34451522719024e-45 2.27366366795127e-42 92.2369013605046
"PDZD4" -3.32726652823686 7.4269831257098 -27.5191719771582 5.66971486214536e-45 2.36471578103321e-42 92.1781371380357
"LEFTY1" -5.23379792314005 7.97494833521342 -27.5077820802429 5.85783402526134e-45 2.39619206829489e-42 92.1456634484849
"LOC440132" -4.47364738168599 8.52021949997052 -27.1693597114503 1.5526592991955e-44 6.23143697229953e-42 91.1757383553008
"PHF21B" -2.0084798543139 6.74561728518183 -27.1578888000466 1.60508599776788e-44 6.32255264046677e-42 91.1426902987351
"HS.270778" -3.83484790141196 7.40722721409259 -26.7561910878628 5.17127865027053e-44 1.99996851218008e-41 89.9781810336432
"COMMD3" 3.15135167276481 10.9291671867733 26.434191765524 1.33421891944855e-43 5.06788761349822e-41 89.0344802158977
"GAL3ST3" -2.19769479289787 6.60193657882861 -26.2791805605197 2.11243105105564e-43 7.88307383982535e-41 88.5768878536871
"OTX2" -4.04086500053933 7.49517697500406 -25.9627543616883 5.43238440801414e-43 1.99228015073912e-40 87.6360731781603
"TRIM71" -3.86669445577852 7.32995547050017 -25.8320612930273 8.04538055289024e-43 2.90056423289031e-40 87.2448301121311
"SOX2" -5.94834503531533 8.93658427482906 -25.6657914111439 1.32890471196415e-42 4.71118868803159e-40 86.7448151970868
"SELV" -3.02881429918891 6.94279175317185 -25.556039795947 1.85332416813148e-42 6.4626325213647e-40 86.4133637837551
"HLA-DPB2" -2.84982093332218 6.47322615313506 -25.3950012146956 3.02535289923827e-42 1.03794002451125e-39 85.9249945006994
"PRDM14" -3.9372651288322 7.22592254291704 -25.3704006113119 3.26120652678946e-42 1.10109720684665e-39 85.8501765209632
"DAZAP2" 2.31202647861093 11.9720231638769 25.3523060932201 3.44646352522152e-42 1.14546446320292e-39 85.7951092889742
"NANOG" -5.02468181764808 7.63185604221209 -24.9588396922924 1.15452718682382e-41 3.77814581398914e-39 84.5900181325669
"JPH3" -2.46512151139913 7.42920897911138 -24.8723996252719 1.50864267340282e-41 4.86217247059869e-39 84.3232982631504
"LOC388755" -2.75679672717354 7.07272263407249 -24.6415727846757 3.09267148704933e-41 9.81853958224272e-39 83.6075324968022
"ARID3B" -3.27332524453084 9.57448692894344 -24.3063535345278 8.85099445711949e-41 2.76866916319689e-38 82.5588318810796
"HS.290255" -4.13927778492941 7.35548573051279 -24.1254058920485 1.56835527083239e-40 4.83485289360519e-38 81.9881608812634
"DIAPH2" -3.40621178032103 10.0875779569643 -24.0499044822033 1.99306423372615e-40 6.05635275936985e-38 81.7490842188738
"LECT1" -4.54030124957494 8.12544220711483 -23.8724810413176 3.50791351312687e-40 1.05094124419326e-37 81.1850274393526
"C6ORF126" -2.75275030115964 6.80596884405979 -23.5391086816684 1.02338437713002e-39 3.02339015082398e-37 80.1166008752891
"LOC644919" -3.01638612709533 7.3300622606813 -23.4055300939342 1.57654479749135e-39 4.59379238184089e-37 79.6853193335367
"RPRML" -3.01323153801319 7.07031341694052 -23.0954779717102 4.32833818015186e-39 1.24416326256771e-36 78.6771791910567
"ZNF256" -1.57300100511863 8.62665632007671 -22.7216573033809 1.48190970919131e-38 4.20289352322778e-36 77.4483687031814
"KCNK12" -5.06291930711517 8.93182239749982 -22.5045668876716 3.04867815049173e-38 8.43167805572167e-36 76.7279806525117
"C9ORF103" 2.46683224638663 7.5763555380982 22.5042179710636 3.052227024073e-38 8.43167805572167e-36 76.7268187733135
"HESX1" -3.59709384912715 7.89221084395808 -22.4810848094294 3.29706572316321e-38 8.99126730735956e-36 76.6497571724108
"LRRN1" -4.25254100462722 8.47550133074721 -22.4740090854856 3.37584418960157e-38 9.08956731101456e-36 76.6261749618905
"TERF1" -3.66871767152654 9.18489973598462 -22.4305492073904 3.90317991987681e-38 1.03780675094625e-35 76.4812128250379
"SEPHS1" -2.53770225720411 10.9627182015025 -22.4236704307327 3.99396054517559e-38 1.04883376242506e-35 76.4582498387289
"CLDN6" -3.69852242514354 7.40169959254493 -22.3875721744517 4.50649934617872e-38 1.16899692186058e-35 76.3376620678381
"Septin 3" -4.11941453281317 8.03498607695754 -22.2689265216448 6.70814368260532e-38 1.71914366593612e-35 75.9403338258339
"FRAT2" -2.72143251384186 10.6740027385664 -22.2409336227624 7.369837632593e-38 1.86623590812959e-35 75.8463680632972
"FAM50B" 2.25180560537965 7.31363187566697 22.1795195734565 9.06187753417993e-38 2.26770820034754e-35 75.6399181946895
"CXXC6" -3.28870557573528 7.68848635370633 -22.1569622415657 9.77756737937279e-38 2.41835622937952e-35 75.5639867208737
"MTA3" -2.49783977547381 10.4236607796316 -22.0858452175866 1.24298168481996e-37 3.0390187836558e-35 75.3242341587692
"KCNQ2" -2.33171213729852 6.94500476237745 -22.0695607717594 1.31330415055376e-37 3.17446506663967e-35 75.2692579979734
"FBXO4" 2.01107755523092 7.05194797421668 22.062556494132 1.34477381025479e-37 3.21400940650894e-35 75.2456027311456
"DPPA2" -2.70753589398613 6.79307820956773 -22.0557422326242 1.37612019229016e-37 3.25238362335599e-35 75.2225840694753
"HTR3A" -2.15631716586785 6.61763446880666 -22.003326484342 1.64325144785113e-37 3.84105511508148e-35 75.0453537555926
"NODAL" -3.25698008994529 7.22843726999504 -21.7688615348196 3.64689011851812e-37 8.43184779467381e-35 74.248888919658
"FLJ14712" -3.11131723900649 7.3720583614159 -21.7389989149148 4.03835031104764e-37 9.2365322006768e-35 74.1470131755288
"ZIK1" -2.18594738298363 8.04866474782781 -21.7352277914404 4.09071221191347e-37 9.25675951697994e-35 74.1341410612588
"SYTL4" 2.78222987403252 7.07736239268735 21.5504105582898 7.70587669824074e-37 1.72538634998188e-34 73.5013681484572
"CELSR3" -3.10511003809276 8.46337153749525 -21.5393835485388 8.00354353653266e-37 1.77336848505819e-34 73.4634942523712
"PHF17" -1.75659218342156 8.65360527005968 -21.5024743902846 9.08697783069964e-37 1.99267119007023e-34 73.3366257617489
"PARP1" -1.58461612831622 12.1702568691941 -21.3398859465346 1.59249235642551e-36 3.45652090954358e-34 72.7759462094123
"LTBR" 3.44473857289947 8.35412948263687 21.3256152950559 1.67310793960041e-36 3.59481605891317e-34 72.7265930928456
"ZBTB39" -1.38397548938199 7.21948985846039 -21.295292247014 1.85834904074713e-36 3.9198957866659e-34 72.6216489860503
"ZNF643" -1.72114482198491 6.828695253611 -21.2940809703393 1.86616424083887e-36 3.9198957866659e-34 72.6174547690563
"MAD2L2" -2.23055416319928 12.0140663347659 -21.2919962936148 1.87969239922863e-36 3.9198957866659e-34 72.6102358943891
"GPC2" -2.82182410570889 7.90536355585474 -21.2309646342042 2.32282709817578e-36 4.79697623352399e-34 72.3986770441682
"MBNL2" 3.34147257485736 7.85437252947772 21.1916617757569 2.66264007146642e-36 5.44586701540021e-34 72.262216226738
"IFNAR1" 2.69996329965231 8.03465914620773 21.1173474977307 3.44852109893827e-36 6.98604688528723e-34 72.0037176933897
"TNFRSF14" 5.03446910084692 8.46579833117851 21.0908827538448 3.78178483929673e-36 7.58890050157366e-34 71.911510464609
"KIAA1553" -2.00463251121949 7.53455841675116 -20.9701601807734 5.76613413712245e-36 1.14627513299749e-33 71.4898860201714
"HMGB3" -2.78224788707188 9.64430818258077 -20.8976204503701 7.43531782927069e-36 1.46441338468904e-33 71.2357425318823
"FLJ90231" -2.27380351444134 6.40504099784811 -20.8935973254561 7.54103161268077e-36 1.47160810489296e-33 71.2216299059356
"NFKB1" 2.50964632417262 10.6205552035535 20.7850667240649 1.10440787274873e-35 2.13562362374894e-33 70.8402191690228
"BMI1" 1.90685081560321 9.82820029145279 20.7136256389372 1.42074781253532e-35 2.72258799283232e-33 70.588415440217
